conv_id,model,bleu,rouge1,rougeL,score_empathy,just_empathy,score_helpfulness,just_helpfulness,score_relevance,just_relevance,score_fluency,just_fluency,score_strategy_adherence,just_strategy_adherence
9,fine_tuned_llama,0.5154,0.9231,0.9231,5,"Respons kandidat menunjukkan empati yang kuat dengan mengulangi kalimat yang sama dengan supporter asli, menegaskan ketersediaan untuk mendukung seeker.",5,"Respons tersebut membantu dengan memberikan penegasan dan dukungan emosional, membuat seeker merasa lebih lega.",5,Respons tetap fokus pada topik dan tidak menyimpang dari konteks percakapan.,5,Kalimat respons kandidat lancar dan menggunakan tata bahasa yang tepat.,5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat kepada seeker."
14,fine_tuned_llama,1.0,1.0,1.0,5,Respons kandidat menunjukkan empati yang kuat dengan mengulangi keinginan seeker untuk memiliki hubungan yang lebih terbuka dan jujur.,5,Respons kandidat sangat membantu karena langsung memberikan saran yang relevan dengan kebutuhan seeker.,5,Respons kandidat tetap fokus pada topik pembicaraan tentang hubungan seeker dengan temannya.,5,Respons kandidat ditulis dengan lancar dan menggunakan tata bahasa yang benar.,5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan saran yang konstruktif untuk membantu seeker."
16,fine_tuned_llama,1.0,1.0,1.0,5,"Respons kandidat menunjukkan empati yang kuat dengan mengulangi kalimat penutup yang sama seperti supporter asli, menegaskan dukungan emosional.",5,"Nasihatnya membantu dan relevan karena memberikan penegasan untuk menjaga diri, yang merupakan pesan positif dan mendukung.",5,Respons tetap fokus pada topik dengan memberikan penutup yang sesuai dan tidak mengalihkan pembicaraan.,5,"Kalimatnya lancar dan menggunakan tata bahasa yang tepat, membuatnya mudah dipahami.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat dengan cara yang efektif."
34,fine_tuned_llama,0.0878,0.2308,0.2308,4,"Respons kandidat menunjukkan empati dengan mengungkapkan kesediaan untuk terus berbicara dan saling mendukung, namun tidak secara spesifik menyentuh perasaan seeker seperti respons referensi.",3,"Nasihatnya tidak terlalu spesifik atau memberikan solusi baru, hanya mengulangi kesediaan untuk berbicara dan mendukung.",4,"Respons tetap fokus pada topik dukungan emosional dan kesediaan untuk berbicara, namun tidak menawarkan pandangan atau solusi baru.",5,"Kalimatnya lancar dan mudah dipahami, tidak ada kesalahan tata bahasa yang mencolok.",3,Respons kandidat tidak sepenuhnya mengikuti strategi yang diharapkan karena tidak memberikan penegasan dan penyemangat yang kuat seperti respons referensi.
72,fine_tuned_llama,1.0,1.0,1.0,5,"Respons kandidat menunjukkan empati yang kuat dengan mengulangi kalimat yang sama dengan respons referensi, menunjukkan dukungan emosional yang konsisten.",5,"Respons kandidat sangat membantu karena memberikan penegasan dan penyemangat yang positif, sesuai dengan strategi yang diharapkan.",5,"Respons kandidat tetap fokus pada topik dan tidak menyimpang, menjaga kesan yang relevan dan terkait dengan percakapan sebelumnya.",5,"Respons kandidat lancar dan menggunakan tata bahasa yang tepat, tidak ada kesalahan atau kejanggalan dalam kalimat.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat, sehingga mendukung seeker dalam menghadapi tantangan baru."
95,fine_tuned_llama,0.6751,0.7568,0.7568,4,"Respons kandidat menunjukkan empati yang cukup dengan menggunakan kata 'Aku yakin kamu bisa', namun tidak sepenuhnya menyampaikan dukungan emosional seperti respons referensi.",4,"Nasihat yang diberikan cukup membantu dan relevan, tetapi tidak menawarkan solusi atau pandangan baru seperti respons referensi.",5,Respons kandidat tetap fokus pada topik dan mengikuti alur percakapan dengan baik.,5,"Tata bahasa dan kelancaran respons kandidat sangat baik, mudah dipahami, dan tidak ada kesalahan.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat dengan menggunakan kalimat yang positif dan mendukung."
152,fine_tuned_llama,0.0008,0.0,0.0,1,Respons kandidat tidak menunjukkan empati atau dukungan emosional.,1,Respons kandidat tidak memberikan nasihat atau bantuan yang relevan.,1,Respons kandidat tidak terkait dengan topik percakapan sebelumnya.,5,Respons kandidat singkat dan mudah dipahami.,1,"Respons kandidat tidak sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat."
180,fine_tuned_llama,0.2214,1.0,1.0,1,Respons kandidat tidak menunjukkan empati atau dukungan emosional tambahan.,1,Respons kandidat tidak memberikan nasihat atau bantuan tambahan.,1,"Respons kandidat tetap relevan dengan topik, yaitu mengakhiri percakapan.",5,Respons kandidat lancar dan menggunakan tata bahasa yang benar.,5,"Respons kandidat sesuai dengan strategi yang diharapkan, yaitu mengulang atau memparafrasekan respons asli."
183,fine_tuned_llama,0.0,0.0,0.0,0,,0,,0,,0,,0,
188,fine_tuned_llama,1.0,1.0,1.0,5,"Respons kandidat menunjukkan empati yang kuat dengan mengulangi kalimat yang sama dengan supporter asli, menegaskan bahwa seeker tidak sendirian.",5,Nasihatnya sangat membantu dan relevan karena memberikan dukungan emosional dan penegasan.,5,Respons kandidat tetap fokus pada topik dan tidak menyimpang dari konteks percakapan.,5,"Kalimatnya lancar dan menggunakan tata bahasa yang tepat, membuatnya mudah dipahami.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat."
200,fine_tuned_llama,1.0,1.0,1.0,5,"Respons kandidat menunjukkan empati yang kuat dengan mengucapkan 'Sama-sama, take care ya!' yang menunjukkan perhatian dan kepedulian terhadap kesejahteraan seeker.",5,"Respons tersebut membantu dengan memberikan penutup yang positif dan menyemangati, membuat seeker merasa dihargai dan didukung.",5,Respons tetap fokus pada topik dengan memberikan penutup yang relevan dan tidak menyimpang dari konteks percakapan.,5,"Tata bahasa dan kelancaran respons sangat baik, mudah dipahami, dan tidak ada kesalahan bahasa.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat untuk meningkatkan semangat seeker."
235,fine_tuned_llama,1.0,1.0,1.0,5,Respons kandidat menunjukkan empati yang kuat dengan mengucapkan kalimat penyemangat.,5,Nasihatnya relevan dan membantu karena memberikan motivasi untuk maju.,5,Respons tetap fokus pada topik dan tidak menyimpang.,5,Kalimatnya lancar dan menggunakan tata bahasa yang benar.,5,"Respons kandidat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat."
330,fine_tuned_llama,1.0,1.0,1.0,5,"Respons kandidat menunjukkan empati yang kuat dengan mengulangi kalimat yang sama dengan respons referensi, menegaskan komitmen untuk mendukung seeker.",5,"Respons tersebut sangat membantu karena memberikan penegasan dan penyemangat yang kuat, membantu seeker merasa lebih percaya diri.",5,"Respons tetap fokus pada topik dan tidak menyimpang, menjaga kesan bahwa supporter benar-benar memperhatikan masalah seeker.",5,"Kalimat respons kandidat lancar dan mudah dipahami, tidak ada kesalahan tata bahasa atau struktur kalimat yang membingungkan.",5,"Respons kandidat sangat sesuai dengan strategi yang diharapkan, yaitu memberikan penegasan dan penyemangat, sehingga seeker merasa didukung dan termotivasi."
331,fine_tuned_llama,0.1197,0.3333,0.3333,4,"Respons kandidat menunjukkan empati dengan menyatakan bahwa seeker tidak sendirian, namun tidak secara eksplisit menyampaikan pemahaman tentang perasaan seeker.",4,"Nasihat yang diberikan cukup membantu karena memberikan dukungan emosional, namun tidak menyediakan solusi atau saran spesifik untuk mengatasi masalah.",5,Respons kandidat tetap fokus pada topik dan tidak menyimpang dari pembicaraan tentang tekanan di sekolah dan dukungan emosional.,5,"Kalimat yang digunakan lancar dan mudah dipahami, tidak ada kesalahan tata bahasa yang signifikan.",4,"Respons kandidat sesuai dengan strategi memberikan penegasan dan penyemangat, namun bisa lebih kuat jika menyampaikan harapan atau dukungan yang lebih spesifik."
334,fine_tuned_llama,1.0,1.0,1.0,4,"Respons kandidat menunjukkan empati dengan mengucapkan 'Sama-sama, take care!', namun tidak secara spesifik menyentuh perasaan seeker.",3,"Respons kandidat tidak memberikan nasihat atau bantuan tambahan, hanya mengulangi kalimat penutup.",5,Respons kandidat tetap fokus pada topik dan mengikuti konteks percakapan.,5,Respons kandidat lancar dan menggunakan tata bahasa yang benar.,3,"Respons kandidat tidak sepenuhnya mengikuti strategi yang diharapkan, karena hanya mengulangi kalimat penutup tanpa memberikan penegasan atau penyemangat tambahan."
